FUENTE,AÑO,MES,DIA,ARTE_PESCA,TIPO,PUERTO,EMBARCACION,MATRICULA,CB,LONGITUD,LATITUD,ESPECIE_CAPTURA,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,Total general
SEGUIMIENTO,2014,2,25,CERCO,ARTESANAL,MALABRIGO/CHICAMA,ALESHKA                                                                                                                 ,PL-12809 -CM,28.05,-79.833,-8,17000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,5,50,32,20,18,9,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145
SEGUIMIENTO,2014,2,27,CERCO,ARTESANAL,MALABRIGO/CHICAMA,ALESHKA                                                                                                                 ,PL-12809 -CM,28.05,-79.833,-8,13000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,10,22,33,21,16,8,8,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131
SEGUIMIENTO,2020,1,7,CERCO,ARTESANAL,,ALESSANDRA                                                  ,TA-03144-CM,32,-71.23333333,-18.28333333,9000,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,5,8,11,18,13,9,1,0,0,1,2,0,1,1,0,0,0,1,,,,,,,,,,,,,73
SEGUIMIENTO,2020,2,19,CERCO,ARTESANAL,,ALESSANDRA                                                  ,TA-03144-CM,32,-71.41666667,-17.45,12500,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,9,5,3,3,5,5,9,12,16,15,9,4,8,6,5,3,,,,,,,,,,,,,119
BITACORAS,2016,3,21,BOLICHE INDUSTRIAL,INDUSTRIAL,CALLAO,ALESSANDRO,CO 22295 PM,450,75.98433333,14.87533333,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,4,0,7,2,2,1,2,0,5,3,8,12,16,0,9,8,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,89
BITACORAS,2016,3,21,BOLICHE INDUSTRIAL,INDUSTRIAL,CALLAO,ALESSANDRO,CO 22295 PM,450,75.7755,14.979,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,12,17,18,16,5,7,4,0,0,0,0,0,0,0,0,0,0,0,0,93
BITACORAS,2016,3,21,BOLICHE INDUSTRIAL,INDUSTRIAL,CALLAO,ALESSANDRO,CO 22295 PM,450,75.75383333,15.038,15000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,5,11,15,24,15,10,11,9,0,5,2,1,0,0,0,0,0,0,0,0,113
BITACORAS,2016,3,21,BOLICHE INDUSTRIAL,INDUSTRIAL,CALLAO,ALESSANDRO,CO 22295 PM,450,76.00283333,14.86583333,15000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,4,5,18,15,21,24,15,4,1,3,1,1,1,0,0,0,0,0,0,0,0,0,120
BITACORAS,2016,3,21,BOLICHE INDUSTRIAL,INDUSTRIAL,CALLAO,ALESSANDRO,CO 22295 PM,450,76.01,14.82866667,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,12,4,6,9,21,22,21,5,5,11,2,0,0,0,0,0,0,0,0,0,0,0,122
BITACORAS,2016,3,21,BOLICHE INDUSTRIAL,INDUSTRIAL,CALLAO,ALESSANDRO,CO 22295 PM,450,75.88833333,14.952,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,3,10,10,9,8,15,13,30,10,10,6,2,0,1,0,0,0,0,0,0,0,0,0,0,132
BITACORAS,2016,3,21,BOLICHE INDUSTRIAL,INDUSTRIAL,CALLAO,ALESSANDRO,CO 22295 PM,450,76.70133333,13.9255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
